ppt_69,ppt_85,ppt_101,ppt_117,ppt_133,ppt_149,ppt_165,ppt_181,ppt_197,ppt_213,ppt_229,ppt_245,ppt_261,ppt_277,tmax_69,tmax_85,tmax_101,tmax_117,tmax_133,tmax_149,tmax_165,tmax_181,tmax_197,tmax_213,tmax_229,tmax_245,tmax_261,tmax_277,EVI_69,EVI_85,EVI_101,EVI_117,EVI_133,EVI_149,EVI_165,EVI_181,EVI_197,EVI_213,EVI_229,EVI_245,EVI_261,EVI_277,yield
7.451937915,51.23669428,7.362931204,62.73678897,60.59965024,2.086997572,45.04256013,25.46744095,12.653812,25.03606319,31.58013447,0.564977186,7.596787663,48.70921622,21.51119076,20.0557212,28.31334563,25.04438845,30.06040092,29.40006433,33.09318549,32.05324955,35.20712887,30.90766126,30.29123111,29.40201817,33.97809237,29.76691399,0.190890071,0.217049676,0.251519531,0.267946551,0.294355635,0.34419878,0.482899458,0.615481708,0.671899847,0.683566486,0.648693348,0.545247779,0.348122527,0.239833314,192.2
28.99014489,23.94999129,40.99361447,109.6846124,25.36003041,31.14574034,37.24176552,17.1988913,12.94409261,10.80508617,3.375454665,7.603337357,6.447155888,38.96728833,24.5333863,23.64065379,28.54688414,27.19070067,29.47536888,31.03197919,32.93759135,32.19298997,35.01603538,31.07271429,33.2686676,29.73836945,33.02785931,30.2825609,0.190926733,0.221204014,0.242939731,0.208272961,0.215422884,0.250262393,0.307039128,0.389772596,0.47371267,0.580222204,0.620415105,0.579174081,0.476161048,0.328384032,159.4
10.07659014,39.11139668,6.998022737,112.1245461,30.2689635,5.840657046,35.83443151,11.12145599,47.45408365,12.35482095,30.63698925,12.47239717,4.320093773,31.39828516,23.555762,22.50565989,27.90010855,24.15132436,29.98506024,30.52103644,33.36878476,32.45741181,35.85723026,30.80756036,32.50768061,31.04854883,34.29251331,29.73590017,0.249188057,0.286529299,0.307341629,0.282184746,0.285331712,0.298910504,0.405953406,0.596450235,0.669742302,0.714785057,0.700015728,0.581247548,0.353068453,0.230046848,170.7
6.415498961,47.84901946,31.82990626,41.12283373,43.46630194,16.97344637,57.32323094,59.84670838,90.67312151,8.231599826,9.589136214,1.429015343,2.255824613,58.85581126,16.66926436,19.81600999,25.0385451,21.05041537,28.81648626,28.12104608,31.51487035,30.61195801,29.93419544,28.50407272,28.663657,26.57357222,33.29451918,26.75152925,0.139323532,0.156635951,0.19053576,0.220027209,0.245017875,0.255723085,0.307507479,0.472082388,0.612323261,0.670562577,0.673743565,0.593343432,0.402152347,0.249246313,189.9
9.062136486,54.49389124,11.79297255,68.3878049,69.31737155,1.346787157,43.2700554,13.94995203,13.16689766,35.91975869,26.76236502,0,10.51244143,49.78179442,21.46347588,20.14109914,28.26617877,24.88066379,29.94480637,29.56613339,32.72257294,31.7405414,34.96058917,30.4960016,30.16567314,29.48414139,34.09461995,29.9854332,0.194996301,0.226791368,0.271916209,0.296753195,0.322928103,0.366016097,0.475416739,0.591495473,0.649135475,0.678301079,0.659976689,0.569027899,0.374136506,0.264180929,188.7
18.40943852,48.4316475,17.65745186,47.61365787,41.40693508,4.695942959,42.31995728,30.53761236,65.36246723,10.22526356,16.71834341,1.452272775,3.3166452,81.48769323,17.04974717,20.27714551,25.66716197,22.31251793,30.01701333,28.43262988,32.10233558,31.26276547,31.47999638,28.81143132,28.09024774,26.77102977,33.61186578,28.20446593,0.145564402,0.164329135,0.192546687,0.211452334,0.223337249,0.248771518,0.386974366,0.599314852,0.722597725,0.75437913,0.733569154,0.654940737,0.426170662,0.245323062,215.4
8.354468874,55.76040828,5.662106664,106.7996635,41.34804832,11.15501685,40.12509727,2.181077818,30.99969396,8.717710347,20.60891472,1.015494229,4.190549502,41.62607187,23.7199779,22.41041877,29.25659039,25.60931214,30.60066173,30.51567293,33.8494963,32.81093055,37.1980926,31.33819283,32.12357605,31.17444897,34.76249931,30.5601721,0.238645552,0.27835485,0.308465157,0.288452307,0.308273741,0.360168401,0.476791967,0.606444369,0.650484188,0.688532321,0.673904782,0.552022085,0.357176627,0.255161442,156
6.055509107,45.96365685,27.87560486,34.81454812,46.86170487,14.84696639,39.76667685,22.48857362,113.6612518,1.621286355,27.37954708,1.323923436,5.422461886,44.97214924,17.58396218,19.65215748,25.45889318,22.16852771,30.04122882,28.33477943,32.05831806,31.42204804,31.34006949,29.15816501,28.20392881,27.46440767,33.58780633,27.31141887,0.149879912,0.170015035,0.204574454,0.224815262,0.242888304,0.270705167,0.427941451,0.64281198,0.727404729,0.734435494,0.711404599,0.635931853,0.467477247,0.29373213,238
11.23036969,53.84265785,10.84915299,73.19505739,52.49943775,2.695982906,22.98182598,6.01071321,24.20995303,13.50797469,19.62402649,0.06779107,9.12954248,57.71495719,21.73770918,21.53342279,28.21351281,24.82459271,30.16238617,30.19322946,33.15050271,32.23396512,34.82087673,30.43759817,31.11247911,30.14782545,34.85632998,30.19224106,0.177306146,0.201293869,0.223091799,0.219576465,0.242518346,0.319129637,0.478950732,0.620841346,0.66885432,0.682245247,0.635611874,0.50069265,0.303118912,0.204122713,194.7
14.8662492,36.81028779,10.10974712,72.39204452,38.02507195,5.366172414,20.36072038,12.02810819,30.61972062,9.728564174,20.63069243,14.23722731,16.55546954,40.73258873,18.48794129,21.57849348,26.6805576,23.33118948,30.76350141,30.32968044,32.19779211,31.42735059,32.45182046,29.41442251,31.16566253,28.91530851,34.094655,28.50533861,0.14958181,0.161688834,0.181878152,0.179879171,0.196173681,0.247844556,0.394040154,0.593625661,0.714056912,0.729498881,0.685718867,0.572572709,0.310488784,0.182391897,206.8
11.38918955,43.32451822,11.175482,85.87702697,45.1877104,3.391689035,23.86571968,15.65010445,36.7721081,13.03297093,9.357143492,4.855944544,6.786384384,40.68844495,21.04264888,21.63438135,27.71586242,23.31740379,30.10442936,30.74136889,33.04383267,31.67995315,34.34560168,30.02350231,31.78360738,30.61625499,34.46444164,29.85492147,0.167949497,0.187166776,0.205941791,0.200833836,0.222947415,0.303698521,0.460347231,0.639597206,0.717846775,0.748722786,0.717233341,0.573291294,0.306981292,0.186952583,220
11.73920941,32.03974284,13.61210948,117.9503896,26.53400061,11.95173677,33.22808985,15.48940289,43.10499982,15.10065465,19.34483247,0.125227637,7.478628185,60.6357764,20.47321849,23.31064386,27.80309789,24.55545812,30.3140474,31.24533563,33.81216396,32.22617683,35.18953991,30.65181337,32.68099958,30.36291489,34.43616621,28.91025321,0.1891989,0.214804769,0.242804886,0.261031233,0.280104693,0.301244169,0.40611925,0.598311056,0.705636389,0.730828759,0.697904646,0.589626084,0.324545057,0.225017675,185.9
15.9291599,32.99669237,12.0618634,115.8009823,38.96033274,5.499853394,22.3961695,10.46694147,37.9589452,7.745685444,18.83927624,0.827424971,12.08494248,33.83689885,23.39407933,22.9458638,28.1218367,24.4798629,29.8964868,31.07848379,33.95100271,32.5882895,35.71471243,30.97528908,32.89289731,31.21021639,34.46859976,29.65535407,0.236552924,0.26773686,0.289419797,0.278566299,0.285561765,0.308596372,0.396612767,0.559709249,0.618591171,0.66157384,0.62345936,0.497712638,0.287828379,0.216406286,119.6
13.2892655,39.78558576,5.485147446,105.5244739,24.391594,10.80599349,29.87904056,12.75589947,23.15009046,12.32119842,14.36573383,12.51792983,4.528761575,15.10251635,24.50419746,22.92536149,27.8775108,24.27177339,29.94105231,30.40803892,33.39655543,32.74497078,35.94031473,31.11344995,32.99412557,31.17387471,34.2230768,29.68884534,0.303955877,0.342324694,0.352010652,0.302284281,0.296195956,0.306327168,0.413697776,0.577394604,0.639154741,0.678252554,0.65332577,0.513569577,0.341254642,0.236026189,157.5
